DATE,excess,term_spread,real_yield,inv_wealth,rolling_6m,momentum
2009-07-01,3.415909090909091,2.2827272727272727,4.421527272727273,0.1062285386605689,2.559148727880307,-1
2009-08-01,3.4657142857142857,2.400952380952381,4.054752380952381,0.1025013229265082,3.011053273334852,-1
2009-09-01,3.3423809523809527,2.249047619047619,3.746947619047619,0.0990693359523045,3.376332178932179,-1
2009-10-01,3.347619047619048,2.262857142857143,2.556857142857143,0.100959952996102,3.6237552669552655,1
2009-11-01,3.35,2.180526315789474,0.3159263157894738,0.095934410870336,3.644165584415585,1
2009-12-01,3.558636363636364,2.290454545454545,-0.4736454545454545,0.094833431276473,3.17185330371383,1
2010-01-01,3.7105263157894735,2.4242105263157896,-0.1368894736842105,0.0986270047992422,2.437060879471406,1
2010-02-01,3.634210526315789,2.253684210526316,0.2123842105263156,0.0963034739008718,1.677324755069492,1
2010-03-01,3.6126086956521744,2.2830434782608697,0.1468434782608696,0.0918600482771088,1.036930059998481,1
2010-04-01,3.696363636363636,2.4213636363636364,0.3745636363636366,0.0914715855406681,0.4369127032006895,1
2010-05-01,3.273000000000001,2.02,0.1764000000000001,0.0996756651508126,0.0731971187851051,-1
2010-06-01,3.1259090909090905,1.8763636363636365,0.8747636363636364,0.1048170741573661,0.0499427328201928,-1
2010-07-01,2.854761904761905,1.602857142857143,0.4220571428571429,0.098264709807725,0.2746775813050413,-1
2010-08-01,2.5445454545454544,1.3054545454545456,0.3152545454545457,0.1028435914466134,0.3678353507286002,1
2010-09-01,2.532380952380952,1.2604761904761903,0.2921761904761903,0.0951079384152856,0.3849804065499718,1
2010-10-01,2.3995,1.0524999999999998,0.0157999999999998,0.0925545158306941,0.4092025252525254,1
2010-11-01,2.629,1.21,0.2655,0.0934902778352785,0.3494085858585858,1
2010-12-01,3.2063636363636365,1.7945454545454544,0.4967454545454546,0.088983616694815,0.3642585858585859,-1
2011-01-01,3.2535,1.8445,0.2936999999999998,0.0883118384641918,0.3012555555555555,1
2011-02-01,3.4615789473684213,2.127894736842105,0.1329947368421056,0.0870193798958332,0.2798626984126984,1
2011-03-01,3.35,2.013478260869565,-0.5057217391304349,0.0883995507701963,0.2494860636439584,1
2011-04-01,3.4254999999999995,2.109,-0.9082,0.0873553262257887,0.1165030753761875,1
2011-05-01,3.1442857142857146,1.802380952380952,-1.6166190476190478,0.0896957623364634,-0.0374969246238124,1
2011-06-01,2.983181818181818,1.5399999999999998,-1.9223,0.0922274506294656,-0.3511834325603204,1
2011-07-01,2.9650000000000003,1.501,-2.0389,0.0948263016452405,-0.7543576749845627,1
2011-08-01,2.2852173913043474,1.0013043478260868,-2.733695652173913,0.1004822592325636,-1.1431243416512296,1
2011-09-01,1.9709523809523808,0.8904761904761904,-2.91212380952381,0.1074254794008464,-1.6209060731538991,1
2011-10-01,2.1385,1.0415,-2.4608,0.0972807805795419,-2.021973084886129,1
2011-11-01,1.9995,0.898,-2.5434,0.0979978586183651,-2.280739751552795,1
2011-12-01,1.977142857142857,0.8814285714285713,-2.1706714285714286,0.0974518666462301,-2.435203243616287,-1
2012-01-01,1.942,0.8049999999999999,-2.1738,0.0940437940361641,-2.4765984817115254,-1
2012-02-01,1.9055,0.7410000000000001,-2.0672,0.0913379508245805,-2.4990818150448586,-1
2012-03-01,2.109090909090909,0.9372727272727274,-1.5656272727272726,0.0897067585140777,-2.3879992063492064,-1
2012-04-01,1.9861904761904765,0.8147619047619048,-1.3784380952380952,0.0913459701999384,-2.163583116883117,-1
2012-05-01,1.7372727272727273,0.6718181818181819,-0.9760818181818182,0.0977062322821069,-1.9831894660894664,-1
2012-06-01,1.571904761904762,0.6214285714285714,-0.9424714285714284,0.0945896663064439,-1.7219697691197693,-1
2012-07-01,1.4585714285714286,0.5195238095238095,-0.7979761904761905,0.0940716014381669,-1.5172697691197692,-1
